      2 30014323	thigh / leg skin (unece 712302)	 (GPC attValue)
      2 30014322	thigh (unece 711101)	 (GPC attValue)
      2 30014321	testis (unece 712201)	 (GPC attValue)
      2 30014320	tendon (straps) (unece 716021)	 (GPC attValue)
      2 30014319	tenderloin with tendon clipped (unece 710802)	 (GPC attValue)
      2 30014318	tenderloin with tendon (unece 710801)	 (GPC attValue)
      2 30014317	tail (unece 711501)	 (GPC attValue)
      2 30014316	second section wing (unece 711305)	 (GPC attValue)
      2 30014315	second and third wing section (unece 711303)	 (GPC attValue)
      2 30014314	scapula meat (unece 716011)	 (GPC attValue)
      2 30014313	processed gizzard (unece 711901)	 (GPC attValue)
      2 30014312	partially processed gizzard (unece 711903)	 (GPC attValue)
      2 30014311	neck skin (unece 712306)	 (GPC attValue)
      2 30014310	neck (unece 711601)	 (GPC attValue)
      2 30014309	liver (unece 712001)	 (GPC attValue)
      2 30014308	leg quarter without tail (unece 710902)	 (GPC attValue)
      2 30014307	leg quarter (unece 710901)	 (GPC attValue)
      2 30014306	intestine (chitterlings) (unece 716015)	 (GPC attValue)
      2 30014305	ilium meat (oyster) (unece 716012)	 (GPC attValue)
      2 30014304	hearts, cap-on (unece 712102)	 (GPC attValue)
      2 30014303	hearts, cap-off (unece 712101)	 (GPC attValue)
      2 30014302	first and second wing section (unece 711302)	 (GPC attValue)
      2 30014301	first and second section wing (unece 711307)	 (GPC attValue)
      2 30014300	drumstick trimming (unece 716006)	 (GPC attValue)
      2 30014299	drumstick (unece 711201)	 (GPC attValue)
      2 30014298	defatted pattern breast skin (unece 712305)	 (GPC attValue)
      2 30014297	dark trimming (unece 716004)	 (GPC attValue)
      2 30014296	butterfly-cut gizzard (unece 711902)	 (GPC attValue)
      2 30014295	breast trimming (unece 716002)	 (GPC attValue)
      2 30014294	breast skin (unece 712301)	 (GPC attValue)
      2 30014293	breast skin (pattern) (unece 712304)	 (GPC attValue)
      2 30014292	boneless whole breast without back, ribs, or tenderloin (unece 710616)	 (GPC attValue)
      2 30014291	boneless split breast without back, rib meat, and tenderloin (unece 710712)	 (GPC attValue)
      2 30014290	boneless split breast without back or ribs, with tenderloin (unece 710711)	 (GPC attValue)
      2 30014289	boneless drumstick with tendon removed (unece 711204)	 (GPC attValue)
      2 30014288	boneless drumstick with tendon partially removed (unece 711203)	 (GPC attValue)
      2 30014287	bone-in whole breast without back, with ribs and boneless first section wing meat (unece 710613)	 (GPC attValue)
      2 30014286	bone-in whole breast without back, with rib (unece 710614)	 (GPC attValue)
      2 30014285	bone-in whole breast without back, with ribs and wing (unece 710611)	 (GPC attValue)
      2 30014284	bone-in whole breast without back, with ribs and first section wing (unece 710612)	 (GPC attValue)
      2 30014283	bone-in whole breast without back or ribs, with tenderloin (unece 70615)	 (GPC attValue)
      2 30014282	bone-in whole breast with back, ribs, and first section wing (unece 710602)	 (GPC attValue)
      2 30014281	bone-in whole breast with back, ribs, and boneless first section wing meat (unece 710603)	 (GPC attValue)
      2 30014280	bone-in whole breast with back, ribs and wings / front half (unece 710601)	 (GPC attValue)
      2 30014279	bone-in whole breast with back and rib (unece 710604)	 (GPC attValue)
      2 30014278	bone-in thigh with back portion (unece 711102)	 (GPC attValue)
      2 30014277	bone-in split breast with back, without rib (unece 710705)	 (GPC attValue)
      2 30014276	bone-in split breast with back portion, ribs, and wing (unece 710701)	 (GPC attValue)
      2 30014275	bone-in split breast with back portion, ribs, and first section wing (unece 710702)	 (GPC attValue)
      2 30014274	bone-in split breast with back portion, ribs, and boneless first section wing (unece 710703)	 (GPC attValue)
      2 30014273	bone-in split breast with back and rib (unece 710704)	 (GPC attValue)
      2 30014272	body skin (unece 712303)	 (GPC attValue)
      2 30014271	back half without tail (unece 710402)	 (GPC attValue)
      2 30014270	back half (unece 710401)	 (GPC attValue)
      2 30014269	abdominal fat (unece 712401)	 (GPC attValue)
      2 30014268	4-product combination (unece 714003)	 (GPC attValue)
      2 30014267	3-product combination (unece 714002)	 (GPC attValue)
      2 30014266	2-product combination (unece 714001)	 (GPC attValue)
      2 30014149	thin flank (unece 600131)	 (GPC attValue)
      2 30014148	tenderloin (unece 600182)	 (GPC attValue)
      2 30014147	striploin (unece 600181)	 (GPC attValue)
      2 30014146	side (unece 600011)	 (GPC attValue)
      2 30014145	shin/shank (unece 600152)	 (GPC attValue)
      2 30014144	rump (tail off) (unece 600178)	 (GPC attValue)
      2 30014143	rib (unece 600090)	 (GPC attValue)
      2 30014142	pallet chop (unece 600051)	 (GPC attValue)
      2 30014141	outside (unece 600176)	 (GPC attValue)
      2 30014140	neck chop (unece 600041)	 (GPC attValue)
      2 30014139	neck (unece 600040)	 (GPC attValue)
      2 30014138	knuckle (unece 600175)	 (GPC attValue)
      2 30014137	kidney (unece 600210)	 (GPC attValue)
      2 30014136	inside (unece 600173)	 (GPC attValue)
      2 30014135	forequarter (unece 600020)	 (GPC attValue)
      2 30014134	eys round (unece 600172)	 (GPC attValue)
      2 30014133	eye of rump (unece 600171)	 (GPC attValue)
      2 30014132	cube roll (unece 600125)	 (GPC attValue)
      2 30014131	chop (unece 600081)	 (GPC attValue)
      2 30014130	carcass (unece 600010)	 (GPC attValue)
      2 30014129	brisket point (unece 600123)	 (GPC attValue)
      2 30014128	bolar blade (unece 600122)	 (GPC attValue)
      2 30014127	blade (unece 600121)	 (GPC attValue)
      2 30014126	trunk, chump on (unece 504721)	 (GPC attValue)
      2 30014125	trunk (unece 504720)	 (GPC attValue)
      2 30014124	thick flank (unece 505076)	 (GPC attValue)
      2 30014123	tenderloin (unece 505080)	 (GPC attValue)
      2 30014122	spare ribs, 9 rib (unece 505018)	 (GPC attValue)
      2 30014121	spare ribs, 8 rib (unece 505017)	 (GPC attValue)
      2 30014120	spare ribs, 7 rib (unece 505016)	 (GPC attValue)
      2 30014119	spare ribs, 6 rib (unece 505015)	 (GPC attValue)
      2 30014118	silverside (unece 505071)	 (GPC attValue)
      2 30014117	side (unece 504650)	 (GPC attValue)
      2 30014116	shoulder, square cut - 6 rib (unece 504992)	 (GPC attValue)
      2 30014115	shoulder, square cut - 5 rib (unece 504990)	 (GPC attValue)
      2 30014114	shoulder, square cut - 4 rib (unece 504991)	 (GPC attValue)
      2 30014113	shoulder, outside (oyster cut) (unece 504980)	 (GPC attValue)
      2 30014112	shoulder, outside (oyster cut) - boneless (unece 505055)	 (GPC attValue)
      2 30014111	shoulder rack pair, 5 rib (unece 504727)	 (GPC attValue)
      2 30014110	shoulder rack pair, 4 rib (unece 504762)	 (GPC attValue)
      2 30014109	short loin (unece 504880)	 (GPC attValue)
      2 30014108	saddle (unece 504900)	 (GPC attValue)
      2 30014107	rack, cap off - 9 rib (unece 504749)	 (GPC attValue)
      2 30014106	rack, cap off - 8 rib (unece 504748)	 (GPC attValue)
      2 30014105	rack, cap off - 7 rib (unece 504747)	 (GPC attValue)
      2 30014104	rack, cap off - 6 rib (unece 504746)	 (GPC attValue)
      2 30014103	rack, 9 rib (unece 504933)	 (GPC attValue)
      2 30014102	rack, 8 rib (unece 504932)	 (GPC attValue)
      2 30014101	rack, 7 rib (unece 504930)	 (GPC attValue)
      2 30014100	rack, 6 rib (unece 504931)	 (GPC attValue)
      2 30014099	outside (unece 505075)	 (GPC attValue)
      2 30014098	neck (unece 505020)	 (GPC attValue)
      2 30014097	loin, chump on (unece 504840)	 (GPC attValue)
      2 30014096	loin (unece 504860)	 (GPC attValue)
      2 30014095	leg, shank bone (easy carve leg) (unece 504821)	 (GPC attValue)
      2 30014094	leg, chump on (unece 504800)	 (GPC attValue)
      2 30014093	leg, chump on - shank off (unece 504810)	 (GPC attValue)
      2 30014092	leg, chump on - boneless (unece 505060)	 (GPC attValue)
      2 30014091	leg, chump off (unece 504820)	 (GPC attValue)
      2 30014090	leg, bottom (unece 505067)	 (GPC attValue)
      2 30014089	leg pair and saddle (unece 504946)	 (GPC attValue)
      2 30014088	leg pair and loin saddle (unece 504901)	 (GPC attValue)
      2 30014087	leg cuts, 4-way (unece 505065)	 (GPC attValue)
      2 30014086	knuckle (unece 505072)	 (GPC attValue)
      2 30014085	inside, cap off (unece 505077)	 (GPC attValue)
      2 30014084	inside (unece 505073)	 (GPC attValue)
      2 30014083	hindshank (unece 505031)	 (GPC attValue)
      2 30014082	hindquarter (unece 504788)	 (GPC attValue)
      2 30014081	foreshank (unece 505030)	 (GPC attValue)
      2 30014080	forequarter (unece 504972)	 (GPC attValue)
      2 30014079	chump, boneless (unece 505130)	 (GPC attValue)
      2 30014078	chump, bone-in (unece 504790)	 (GPC attValue)
      2 30014077	carcass, piece (unece)	 (GPC attValue)
      2 30014076	carcass, 6-way (unece)	 (GPC attValue)
      2 30014075	carcass, 5-way (unece)	 (GPC attValue)
      2 30014074	carcass, 4-way (unece)	 (GPC attValue)
      2 30014073	carcass (unece)	 (GPC attValue)
      2 30014072	backstrap/backstrip (unece 505101)	 (GPC attValue)
      2 30014071	assorted pieces - special trim (unece 505199)	 (GPC attValue)
      2 30014070	assorted cut (block ready) - bone-in (unece 505036)	 (GPC attValue)
      2 30013823	forequarter and flank13 rib	 (GPC attValue)
      2 30013776	butt	 (GPC attValue)
      2 30013756	wings with back attached (unece 701308)	 (GPC attValue)
      2 30013755	whole wing (unece 701301)	 (GPC attValue)
      2 30013754	whole leg, with thigh and drumstick incision / short-cut sujiire (unece 701004)	 (GPC attValue)
      2 30013753	whole leg, long-cut, with thigh and drumstick incision / long-cut sujiire (unece 701005)	 (GPC attValue)
      2 30013752	whole leg, long-cut (unece 701003)	 (GPC attValue)
      2 30013751	whole leg with abdominal fat (unece 701002)	 (GPC attValue)
      2 30013750	whole leg / short-cut leg (unece 701001)	 (GPC attValue)
      2 30013749	whole breast with ribs and tenderloin (unece 700601)	 (GPC attValue)
      2 30013748	whole bird without giblets with head and feet (unece 700108)	 (GPC attValue)
      2 30013747	whole bird without giblet (unece 700102)	 (GPC attValue)
      2 30013746	whole bird w/out giblets with whole neck (unece 700106)	 (GPC attValue)
      2 30013745	whole bird w/out giblets with long-cut drumstick (unece 700104)	 (GPC attValue)
      2 30013744	whole bird w/out giblets with head (unece 700107)	 (GPC attValue)
      2 30013743	whole bird w/out giblets with half neck (unece 700105)	 (GPC attValue)
      2 30013742	whole bird (unece 700101)	 (GPC attValue)
      2 30013741	whole back (unece 701404)	 (GPC attValue)
      2 30013740	upper back (unece 701403)	 (GPC attValue)
      2 30013737	thigh (unece 701101)	 (GPC attValue)
      2 30013736	thigh and leg skin (unece 702302)	 (GPC attValue)
      2 30013735	testes / fries / testicle (unece 702201)	 (GPC attValue)
      2 30013734	tenderloin with tendon tip off (unece 700802)	 (GPC attValue)
      2 30013733	tenderloin / inner fillet / tender / small fillet (unece 700801)	 (GPC attValue)
      2 30013732	tail (unece 701501)	 (GPC attValue)
      2 30013731	stripped lower back (unece 701401)	 (GPC attValue)
      2 30013730	split breast with back portion (unece 700502)	 (GPC attValue)
      2 30013729	slant-cut drumstick (unece 701202)	 (GPC attValue)
      2 30013724	processed paw (unece 701801)	 (GPC attValue)
      2 30013723	processed feet (unece 701802)	 (GPC attValue)
      2 30013722	partially boneless split breast with rib meat and 1st wing segment (unece 700705)	 (GPC attValue)
      2 30013721	neck (unece 701601)	 (GPC attValue)
      2 30013713	lower back (unece 701402)	 (GPC attValue)
      2 30013712	long-cut drumstick and thigh portion with back (unece 700904)	 (GPC attValue)
      2 30013711	liver (unece 702001)	 (GPC attValue)
      2 30013710	leg with back portion without tail or abdominal fat (unece 700903)	 (GPC attValue)
      2 30013709	leg with back portion without tail / leg quarter without tail (unece 700902)	 (GPC attValue)
      2 30013708	leg with back portion / leg quarter (unece 700901)	 (GPC attValue)
      2 30013707	hearts, cap on (unece 702102)	 (GPC attValue)
      2 30013706	hearts, cap off (unece 702101)	 (GPC attValue)
      2 30013705	head (unece 701701)	 (GPC attValue)
      2 30013699	gizzards, v-style cut (unece 701903)	 (GPC attValue)
      2 30013698	gizzards, mechanically cut (unece 701901)	 (GPC attValue)
      2 30013697	gizzards, butterfly-cut (unece 701902)	 (GPC attValue)
      2 30013696	front half without wings / whole breast with back (unece 700302)	 (GPC attValue)
      2 30013695	front half (unece 700301)	 (GPC attValue)
      2 30013694	drumstick (unece 701201)	 (GPC attValue)
      2 30013693	crest (unece 701702)	 (GPC attValue)
      2 30013692	breast skin (unece 702301)	 (GPC attValue)
      2 30013691	breast quarter (unece 700501)	 (GPC attValue)
      2 30013690	boneless whole breast without tenderloin (unece 700605)	 (GPC attValue)
      2 30013689	boneless whole breast with tenderloin (unece 700604)	 (GPC attValue)
      2 30013688	boneless whole breast with rib meat, without tenderloin (unece 700603)	 (GPC attValue)
      2 30013687	boneless whole bird without wings and giblet (unece 700103)	 (GPC attValue)
      2 30013686	boneless thigh, trimmed (unece 701103)	 (GPC attValue)
      2 30013685	boneless thigh, trimmed and squared (unece 701105)	 (GPC attValue)
      2 30013684	boneless thigh, squared (unece 701104)	 (GPC attValue)
      2 30013683	boneless split breast without rib meat (unece 700704)	 (GPC attValue)
      2 30013682	bone-in whole breast with ribs and wing (unece 700602)	 (GPC attValue)
      2 30013681	bone-in thigh with back portion / thigh quarter (unece 701102)	 (GPC attValue)
      2 30013680	bone-in split breast with rib (unece 700701)	 (GPC attValue)
      2 30013679	bone-in split breast with ribs and wing (unece 700702)	 (GPC attValue)
      2 30013678	body skin (unece 702303)	 (GPC attValue)
      2 30013677	back half without tail (unece 700402)	 (GPC attValue)
      2 30013676	back half (unece 700401)	 (GPC attValue)
      2 30013675	abdominal fat / leaf fat (unece 702401)	 (GPC attValue)
      2 30013674	9-piece cut-up, traditional (unece 700206)	 (GPC attValue)
      2 30013673	9-piece cut-up, country-cut (unece 700207)	 (GPC attValue)
      2 30013672	8-piece cut-up, traditional (unece 700204)	 (GPC attValue)
      2 30013671	8-piece cut-up, non-traditional (unece 700205)	 (GPC attValue)
      2 30013670	6-piece cut-up (unece 700203)	 (GPC attValue)
      2 30013669	4-product combination (unece 704003)	 (GPC attValue)
      2 30013668	4-piece cut-up / quartered bird (unece 700202)	 (GPC attValue)
      2 30013667	3rd segment wing / wing tip (unece 701306)	 (GPC attValue)
      2 30013666	3-product combination (unece 704002)	 (GPC attValue)
      2 30013665	2-product combination (unece 704001)	 (GPC attValue)
      2 30013664	2-piece cut-up / spilt bird (unece 700201)	 (GPC attValue)
      2 30013663	2nd segment wing / wing flat (unece 701305)	 (GPC attValue)
      2 30013662	2nd and 3rd segment wing / 2-joint wing (unece 701303)	 (GPC attValue)
      2 30013661	1st segment wing / wing drummette (unece 701304)	 (GPC attValue)
      2 30013660	1st segment and 2nd segment wing (unece 701307)	 (GPC attValue)
      2 30013659	1st and 2nd segment wing / v-wing (unece 701302)	 (GPC attValue)
      2 30013658	10-piece cut-up (unece 700208)	 (GPC attValue)
      2 30013496	unmounted	 (GPC attValue)
      2 30013495	mounted	 (GPC attValue)
      2 30013333	seasonal ornament	 (GPC attValue)
      2 30013305	sdhc (secure digital high capacity) card	 (GPC attValue)
      2 30013298	internet download	 (GPC attValue)
      2 30013279	sheepskin	 (GPC attValue)
      2 30013265	>1600	 (GPC attValue)
      2 30013264	1401-1600	 (GPC attValue)
      2 30013263	1201-1400	 (GPC attValue)
      2 30013262	1001-1200	 (GPC attValue)
      2 30013261	801-1000	 (GPC attValue)
      2 30013260	601-800	 (GPC attValue)
      2 30013224	blu ray drive	 (GPC attValue)
      2 30013209	uhf digital	 (GPC attValue)
      2 30013208	uhf analogue	 (GPC attValue)
      2 30013207	wired digital	 (GPC attValue)
      2 30013206	built-in flash memory	 (GPC attValue)
      2 30013204	hd dvd	 (GPC attValue)
      2 30013203	blu ray	 (GPC attValue)
      2 30013160	scallion/spring onion	 (GPC attValue)
      2 30013159	rocket	 (GPC attValue)
      2 30013158	stromboli	 (GPC attValue)
      2 30013149	sour cream/chive dip	 (GPC attValue)
      2 30013148	salsa dip	 (GPC attValue)
      2 30013090	gum/putty	 (GPC attValue)
      2 30013032	matt/eggshell	 (GPC attValue)
      2 30012997	sd (secure digital) card	 (GPC attValue)
      2 30012977	stringer	 (GPC attValue)
      2 30012973	austria - tyrol/vorarlberg/carinthia	 (GPC attValue)
      2 30012971	austria - upper/lower austria	 (GPC attValue)
      2 30012967	austria - upper austria	 (GPC attValue)
      2 30012951	bulletin board	 (GPC attValue)
      2 30012896	engineered wood	 (GPC attValue)
      2 30012870	floor mounted	 (GPC attValue)
      2 30012864	pendant	 (GPC attValue)
      2 30012831	composite wood	 (GPC attValue)
      2 30012651	marine environment	 (GPC attValue)
      2 30012639	cremant de die	 (GPC attValue)
      2 30012602	heating	 (GPC attValue)
      2 30012600	thermoplastic	 (GPC attValue)
      2 30012595	neon	 (GPC attValue)
      2 30012580	non-sparking	 (GPC attValue)
      2 30012579	torque	 (GPC attValue)
      2 30012578	precision	 (GPC attValue)
      2 30012577	reversible tip (double tip)	 (GPC attValue)
      2 30012576	interchangeable tip	 (GPC attValue)
      2 30012575	flexible tip	 (GPC attValue)
      2 30012566	wallwasher	 (GPC attValue)
      2 30012565	uplighter	 (GPC attValue)
      2 30012564	downlighter	 (GPC attValue)
      2 30012549	attic/loft	 (GPC attValue)
      2 30012532	coupler	 (GPC attValue)
      2 30012490	electrolytic	 (GPC attValue)
      2 30012485	ultraviolet (uv)	 (GPC attValue)
      2 30012471	sunken	 (GPC attValue)
      2 30012433	suspended	 (GPC attValue)
      2 30012429	shower	 (GPC attValue)
      2 30012417	bar/hospitality	 (GPC attValue)
      2 30012374	heavy duty	 (GPC attValue)
      2 30012325	limestone	A sedimentary rock composed largely of the minerals calcite and aragonite, which are different crystal forms of calcium carbonate(CaCO3). (GPC attValue)
      2 30012314	silica sand	 (GPC attValue)
      2 30012305	carpet/upholstery	 (GPC attValue)
      2 30012285	omnivore	 (GPC attValue)
      2 30012284	herbivore	 (GPC attValue)
      2 30012283	carnivore	 (GPC attValue)
      2 30012188	paper overlay/wrapped	 (GPC attValue)
      2 30012185	panel mould	 (GPC attValue)
      2 30012184	cove	 (GPC attValue)
      2 30012183	casing	 (GPC attValue)
      2 30012181	baseboard	 (GPC attValue)
      2 30012180	elastomer composite	 (GPC attValue)
      2 30012179	resin/polymer blend	 (GPC attValue)
      2 30012170	paint	 (GPC attValue)
      2 30012159	edge glued	 (GPC attValue)
      2 30012148	laminated	 (GPC attValue)
      2 30012126	mineral surface	 (GPC attValue)
      2 30012091	radio transmitter	 (GPC attValue)
      2 30012084	sliding	 (GPC attValue)
      2 30012077	brushed nickel	 (GPC attValue)
      2 30012075	tubular key	 (GPC attValue)
      2 30012073	paracentric key	 (GPC attValue)
      2 30012065	double sided key	 (GPC attValue)
      2 30012008	roll	 (GPC attValue)
      2 30011979	soffit	 (GPC attValue)
      2 30011978	ceiling	 (GPC attValue)
      2 30011956	unfaced	 (GPC attValue)
      2 30011955	faced	 (GPC attValue)
      2 30011954	purifier/humidifier	 (GPC attValue)
      2 30011953	chiller/heater/humidifier/dehumidifier/purifier	 (GPC attValue)
      2 30011952	chiller/heater/purifier	 (GPC attValue)
      2 30011951	chiller/heater/humidifier/dehumidifier	 (GPC attValue)
      2 30011950	chiller/humidifier/dehumidifier/purifier	 (GPC attValue)
      2 30011949	chiller/humidifier/dehumidifier	 (GPC attValue)
      2 30011948	humidifier/dehumidifier	 (GPC attValue)
      2 30011947	purifier/humidifier/dehumidifier	 (GPC attValue)
      2 30011946	purifier/dehumidifier	 (GPC attValue)
      2 30011945	chiller/purifier	 (GPC attValue)
      2 30011944	chiller/dehumidifier	 (GPC attValue)
      2 30011941	diethylene glycol	 (GPC attValue)
      2 30011922	ethylene glycol	 (GPC attValue)
      2 30011921	propylene glycol	 (GPC attValue)
      2 30011909	hydraulic	 (GPC attValue)
      2 30011868	curb mounted	 (GPC attValue)
      2 30011867	deck mounted	 (GPC attValue)
      2 30011809	aviation	 (GPC attValue)
      2 30011798	handle	 (GPC attValue)
      2 30011783	powder - compact	 (GPC attValue)
      2 30011762	no print function	 (GPC attValue)
      2 30011758	dye sublimation	 (GPC attValue)
      2 30011757	thermal wax	 (GPC attValue)
      2 30011756	solid ink	 (GPC attValue)
      2 30011755	character impact	 (GPC attValue)
      2 30011753	light emitting diode (led)	 (GPC attValue)
      2 30011752	laser	 (GPC attValue)
      2 30011750	multiple tip	 (GPC attValue)
      2 30011749	fixed tip	 (GPC attValue)
      2 30011725	cup (disposable)	 (GPC attValue)
      2 30011708	cupboard mounting	 (GPC attValue)
      2 30011688	replacement lid/cap	 (GPC attValue)
      2 30011685	compressed ga	 (GPC attValue)
      2 30011638	fruit juice	 (GPC attValue)
      2 30011616	magnetic	 (GPC attValue)
      2 30011597	tabletop air hockey	 (GPC attValue)
      2 30011583	toy wand/sword	 (GPC attValue)
      2 30011582	toy gun	 (GPC attValue)
      2 30011581	fancy dress mask	 (GPC attValue)
      2 30011574	viewer	 (GPC attValue)
      2 30011573	picture slide/reel	 (GPC attValue)
      2 30011572	kaleidoscope	 (GPC attValue)
      2 30011518	animal doll	 (GPC attValue)
      2 30011447	gun rack	 (GPC attValue)
      2 30011444	double-sided tape	 (GPC attValue)
      2 30011443	masking tape	 (GPC attValue)
      2 30011436	machinery helmet	 (GPC attValue)
      2 30011435	forestry helmet	 (GPC attValue)
      2 30011434	welding helmet	 (GPC attValue)
      2 30011419	1 hole paper punch	 (GPC attValue)
      2 30011381	graph paper	 (GPC attValue)
      2 30011371	unbound	 (GPC attValue)
      2 30011370	case bound	 (GPC attValue)
      2 30011369	side bound	 (GPC attValue)
      2 30011368	head bound	 (GPC attValue)
      2 30011366	non perforated	 (GPC attValue)
      2 30011336	ceiling rail mounting (movable)	 (GPC attValue)
      2 30011318	over-the-ear	 (GPC attValue)
      2 30011311	half face mask	 (GPC attValue)
      2 30011310	full mask	 (GPC attValue)
      2 30011283	cote d'ivoire	 (GPC attValue)
      2 30011280	chai	 (GPC attValue)
      2 30011279	kenya - kitale	 (GPC attValue)
      2 30011168	end pin	 (GPC attValue)
      2 30011138	mouthpiece	 (GPC attValue)
      2 30011118	laboratory	 (GPC attValue)
      2 30011116	factory	 (GPC attValue)
      2 30011115	workshop	 (GPC attValue)
      2 30011088	sword (complete)	 (GPC attValue)
      2 30011086	sword tip	 (GPC attValue)
      2 30011085	sword blade	 (GPC attValue)
      2 30011080	bike rack	 (GPC attValue)
      2 30011036	rock/sand	 (GPC attValue)
      2 30011031	topiary	 (GPC attValue)
      2 30011030	staked/espalier	 (GPC attValue)
      2 30011029	sod	 (GPC attValue)
      2 30011024	plug	 (GPC attValue)
      2 30011008	audio cd	 (GPC attValue)
      2 30011007	audio cassette	 (GPC attValue)
      2 30011006	mp3 on disk	 (GPC attValue)
      2 30010960	rigid shell	 (GPC attValue)
      2 30010959	flexible liner	 (GPC attValue)
      2 30010958	rigid liner	 (GPC attValue)
      2 30010937	tungsten	 (GPC attValue)
      2 30010934	sabre	 (GPC attValue)
      2 30010933	epee	 (GPC attValue)
      2 30010932	foil	 (GPC attValue)
      2 30010928	snow board	 (GPC attValue)
      2 30010924	weight resistance machine	Weight resistance machines are pieces of exercise equipment that use a weight stack and crane system to cause resistance against a fixed movement. These machines are used for both strength training and rehabilitation. (GPC attValue)
      2 30010855	ring fitting	 (GPC attValue)
      2 30010834	floppy disc	 (GPC attValue)
      2 30010764	replacement power supply unit	 (GPC attValue)
      2 30010753	stitched fabric patch	 (GPC attValue)
      2 30010726	household/office stool	 (GPC attValue)
      2 30010725	household/office chair	 (GPC attValue)
      2 30010718	compact	 (GPC attValue)
      2 30010675	dvd/r	 (GPC attValue)
      2 30010672	surface mounted	 (GPC attValue)
      2 30010655	butane	 (GPC attValue)
      2 30010646	multi fuel	 (GPC attValue)
      2 30010635	lead	 (GPC attValue)
      2 30010593	animation	 (GPC attValue)
      2 30010592	crime	 (GPC attValue)
      2 30010587	hobbies/cooking/craft/diy	 (GPC attValue)
      2 30010582	mature	 (GPC attValue)
      2 30010531	md	 (GPC attValue)
      2 30010527	drawer	 (GPC attValue)
      2 30010525	ice cube tray	 (GPC attValue)
      2 30010510	filter	 (GPC attValue)
      2 30010435	stocking	 (GPC attValue)
      2 30010408	2 polishers/buffer	 (GPC attValue)
      2 30010407	5 polishers/buffer	 (GPC attValue)
      2 30010406	4 polishers/buffer	 (GPC attValue)
      2 30010405	3 polishers/buffer	 (GPC attValue)
      2 30010403	1 polisher/buffer	 (GPC attValue)
      2 30010351	marzen	 (GPC attValue)
      2 30010350	obersorte	 (GPC attValue)
      2 30010287	silicone/gel	Silicones are polymers that include any inert, synthetic compound made up of repeating units of siloxane, which is a chain of alternating silicon atoms and oxygen atoms, frequently combined with carbon and/or hydrogen. They are typically heat-resistant and rubber-like, and are used in sealants, adhesives, lubricants, medicine, cooking utensils, and thermal and electrical insulation. Some common forms include silicone oil, silicone grease, silicone rubber, silicone resin, and silicone caulk. (GPC attValue)
      2 30010241	chicken salad	 (GPC attValue)
      2 30010205	polymer based	 (GPC attValue)
      2 30010190	traditional	 (GPC attValue)
      2 30010172	walk-behind	 (GPC attValue)
      2 30010163	vacuum	 (GPC attValue)
      2 30010156	plate/griddle	 (GPC attValue)
      2 30010127	garland	 (GPC attValue)
      2 30010126	wreath	 (GPC attValue)
      2 30010099	vine	 (GPC attValue)
      2 30010098	shrub	 (GPC attValue)
      2 30010097	tree	 (GPC attValue)
      2 30010052	folding	 (GPC attValue)
      2 30010044	lawn	 (GPC attValue)
      2 30010041	netting	 (GPC attValue)
      2 30009990	wall	 (GPC attValue)
      2 30009973	high	 (GPC attValue)
      2 30009968	colourless	 (GPC attValue)
      2 30009967	filtered	 (GPC attValue)
      2 30009966	photocromic	 (GPC attValue)
      2 30009960	for long sight	 (GPC attValue)
      2 30009959	for short sight	 (GPC attValue)
      2 30009953	tie handle	 (GPC attValue)
      2 30009905	portrait	 (GPC attValue)
      2 30009904	landscape	 (GPC attValue)
      2 30009864	cotton wool	 (GPC attValue)
      2 30009857	woven fibre	 (GPC attValue)
      2 30009854	knotted fibre	 (GPC attValue)
      2 30009838	roller	 (GPC attValue)
      2 30009833	coir	 (GPC attValue)
      2 30009742	corkscrew	 (GPC attValue)
      2 30009729	ice cream scoop	 (GPC attValue)
      2 30009632	cocktail stirrer	 (GPC attValue)
      2 30009434	barrel	 (GPC attValue)
      2 30009414	hot	 (GPC attValue)
      2 30009394	jug	 (GPC attValue)
      2 30009378	citrus press	 (GPC attValue)
      2 30009375	balloon whisk	 (GPC attValue)
      2 30009374	chopper	 (GPC attValue)
      2 30009314	pop up	 (GPC attValue)
      2 30009307	tray	 (GPC attValue)
      2 30009262	control knob	This part is a lever of knob used to operate a control or function of the product. (GPC attValue)
      2 30009247	fan assisted	 (GPC attValue)
      2 30009240	smoothtop	 (GPC attValue)
      2 30009238	burner	 (GPC attValue)
      2 30009234	60 cm	 (GPC attValue)
      2 30009233	45 cm	 (GPC attValue)
      2 30009011	anchor	 (GPC attValue)
      2 30008948	pump action	 (GPC attValue)
      2 30008849	seat	 (GPC attValue)
      2 30008841	treadmill	 (GPC attValue)
      2 30008840	rowing machine	 (GPC attValue)
      2 30008839	exercise bike	 (GPC attValue)
      2 30008837	climbing machine	Climbing machines simulate a nature vertical climbing motion. (GPC attValue)
      2 30008769	racquet string	 (GPC attValue)
      2 30008751	bird feather	 (GPC attValue)
      2 30008707	steam	 (GPC attValue)
      2 30008646	sea grass	 (GPC attValue)
      2 30008612	feather	 (GPC attValue)
      2 30008337	telescope	 (GPC attValue)
      2 30008281	table tenni	Also known as Ping Pong. (GPC attValue)
      2 30008279	snooker	 (GPC attValue)
      2 30008278	pool	 (GPC attValue)
      2 30008183	business	Business is a semi-formal dress code focused on office/workplace attire. (GPC attValue)
      2 30008160	fashion doll	 (GPC attValue)
