    338 30016090	germany - sachsen - anhalt	 (GPC attValue)
    338 30016089	germany - sachsen	 (GPC attValue)
    338 30016088	germany - saarland	 (GPC attValue)
    338 30016087	germany - rheinland - pfalz	 (GPC attValue)
    338 30016086	germany - nordrhein - westfalen	 (GPC attValue)
    338 30016085	germany - niedersachsen	 (GPC attValue)
    338 30016084	south soudan	 (GPC attValue)
    338 30016083	germany - hessen	 (GPC attValue)
    338 30016082	germany - franken	 (GPC attValue)
    338 30016081	germany - berlin - brandenburg	 (GPC attValue)
    338 30016080	germany - bayern	 (GPC attValue)
    338 30016079	germany - baden-wÜrttemberg	 (GPC attValue)
    338 30016078	germany - walbeck	 (GPC attValue)
    338 30016077	georgia	 (GPC attValue)
    338 30016076	gambia	 (GPC attValue)
    338 30016075	gabon	 (GPC attValue)
    338 30016074	french southern and antarctic territory	 (GPC attValue)
    338 30016073	french polynesia	 (GPC attValue)
    338 30016072	french guiana	 (GPC attValue)
    338 30016071	fiji	 (GPC attValue)
    338 30016070	faroe island	 (GPC attValue)
    338 30016069	falkland island (malvinas)	 (GPC attValue)
    338 30016068	estonia	 (GPC attValue)
    338 30016067	eritrea	 (GPC attValue)
    338 30016066	equatorial guinea	 (GPC attValue)
    338 30016065	el salvador	 (GPC attValue)
    338 30016064	curaÇao	 (GPC attValue)
    338 30016063	congo, the democratic republic of the	 (GPC attValue)
    338 30016062	cocos (keeling) island	 (GPC attValue)
    338 30016061	christmas island	 (GPC attValue)
    338 30016059	british indian ocean territory	 (GPC attValue)
    338 30016058	bouvet island	 (GPC attValue)
    338 30016057	netherlands - bonaire, sint eustatius and saba	 (GPC attValue)
    338 30016056	bolivia, plurinational state of	 (GPC attValue)
    338 30016055	antigua and barbuda	 (GPC attValue)
    338 30016054	antarctica	 (GPC attValue)
    338 30016053	Åland island	 (GPC attValue)
    338 30015488	slovenia	This term is used to describe all those products whose origin is Slovenia. (GPC attValue)
    338 30015367	non european community	 (GPC attValue)
    338 30015366	zimbabwe	 (GPC attValue)
    338 30015365	zambia	 (GPC attValue)
    338 30015364	tunisia	 (GPC attValue)
    338 30015363	somalia	 (GPC attValue)
    338 30015362	saudi arabia	 (GPC attValue)
    338 30015361	serbia	 (GPC attValue)
    338 30015360	puerto rico	 (GPC attValue)
    338 30015359	namibia	 (GPC attValue)
    338 30015358	malaysia	 (GPC attValue)
    338 30015357	mali	 (GPC attValue)
    338 30015356	madagascar	 (GPC attValue)
    338 30015355	morrocco	 (GPC attValue)
    338 30015354	lithuania	 (GPC attValue)
    338 30015353	ghana	 (GPC attValue)
    338 30015350	france - la reunion	 (GPC attValue)
    338 30015348	egypt	 (GPC attValue)
    338 30015347	germany - bodensee	 (GPC attValue)
    338 30015346	germany - altes land	 (GPC attValue)
    338 30014667	dominican republic	 (GPC attValue)
    338 30014666	dominica	 (GPC attValue)
    338 30014665	djibouti	 (GPC attValue)
    338 30014664	denmark	 (GPC attValue)
    338 30014663	korea - republic of	 (GPC attValue)
    338 30014662	czech republic	 (GPC attValue)
    338 30014661	cuba	 (GPC attValue)
    338 30014660	croatia	 (GPC attValue)
    338 30014659	ivory coast	 (GPC attValue)
    338 30014658	costa rica	 (GPC attValue)
    338 30014657	cook island	 (GPC attValue)
    338 30014656	congo	 (GPC attValue)
    338 30014655	comoro	 (GPC attValue)
    338 30014654	colombia	 (GPC attValue)
    338 30014653	macao (china)	 (GPC attValue)
    338 30014651	china	 (GPC attValue)
    338 30014650	chile	 (GPC attValue)
    338 30014648	chad	 (GPC attValue)
    338 30014647	central african republic	 (GPC attValue)
    338 30014646	cayman island	 (GPC attValue)
    338 30014645	cape verde	 (GPC attValue)
    338 30014644	cameroon	 (GPC attValue)
    338 30014643	cambodia	 (GPC attValue)
    338 30014642	burkina faso	 (GPC attValue)
    338 30014641	burundi	 (GPC attValue)
    338 30014640	bulgaria	 (GPC attValue)
    338 30014639	brunei darussalam	 (GPC attValue)
    338 30014637	brazil	 (GPC attValue)
    338 30014636	botswana	 (GPC attValue)
    338 30014635	bosnia/herzegovina	 (GPC attValue)
    338 30014633	bhutan	 (GPC attValue)
    338 30014632	bermuda	 (GPC attValue)
    338 30014631	benin	 (GPC attValue)
    338 30014630	belize	 (GPC attValue)
    338 30014629	belgium	 (GPC attValue)
    338 30014628	belaru	 (GPC attValue)
    338 30014627	barbado	 (GPC attValue)
    338 30014626	bangladesh	 (GPC attValue)
    338 30014625	bahrain	 (GPC attValue)
    338 30014624	bahama	 (GPC attValue)
    338 30014623	azerbaijan	 (GPC attValue)
    338 30014622	australia	 (GPC attValue)
    338 30014621	aruba	 (GPC attValue)
    338 30014620	armenia	 (GPC attValue)
    338 30014619	argentina	 (GPC attValue)
    338 30014617	anguilla	 (GPC attValue)
    338 30014616	angola	 (GPC attValue)
    338 30014615	andorra	 (GPC attValue)
    338 30014614	american samoa	 (GPC attValue)
    338 30014613	algeria	 (GPC attValue)
    338 30014612	albania	 (GPC attValue)
    338 30014610	afghanistan	 (GPC attValue)
    338 30010240	austria	 (GPC attValue)
    338 30006793	poland	 (GPC attValue)
    338 30006791	malta	 (GPC attValue)
    338 30006788	spain	 (GPC attValue)
    338 30006786	cypru	 (GPC attValue)
    338 30006785	canada	 (GPC attValue)
    334 30017715	mix of eu and non-eu fruits and vegetable	This term is used to indicate that there is a mix of fruits and/or vegetables from both EU and non-EU countries. (GPC attValue)
    334 30017714	mix of non-eu fruits and vegetable	This term is used to indicate that there is a mix of fruits and/or vegetables from non-EU countries only. (GPC attValue)
    334 30017713	mix of eu fruits and vegetable	This term is used to indicate that there is a mix of fruits and/or vegetables from EU countries only. (GPC attValue)
    332 30002610	white	The main colour of the item is termed White. (GPC attValue)
    317 30000563	cereal	 (GPC attValue)
    313 30002652	yellow	The main colour of the item is termed Yellow. (GPC attValue)
    298 30014945	brown	The main colour of the item is termed Brown. (GPC attValue)
    298 30014943	orange (colour)	The main colour of the item is termed Orange. (GPC attValue)
    294 30014944	black	The main colour of the item is termed Black. (GPC attValue)
    294 30014685	conventional	This term is used to indicate that the growing method is not organic, neither Transitional. (GPC attValue)
